BioProject,dnaQ_cluster,mutL_cluster,mutS_cluster,mutT_cluster,mutY_cluster,uvrD_cluster,count
PRJNA287460,cluster1,cluster67,cluster85,cluster78,cluster59,cluster45,1
PRJNA287460,cluster2,cluster2,cluster14,cluster13,cluster11,cluster46,1
PRJNA287460,cluster2,cluster4,cluster4,cluster4,cluster4,cluster4,6
PRJNA287460,cluster2,cluster4,cluster4,cluster69,cluster4,cluster4,1
PRJNA287460,cluster2,cluster46,cluster48,cluster13,cluster11,cluster4,1
PRJNA287460,cluster2,cluster46,cluster80,cluster76,cluster71,cluster11,1
PRJNA287460,cluster2,cluster46,cluster81,cluster76,cluster71,cluster11,1
PRJNA287460,cluster2,cluster46,cluster83,cluster77,cluster11,cluster4,1
PRJNA287460,cluster2,cluster46,cluster84,cluster4,cluster73,cluster11,1
PRJNA287460,cluster2,cluster68,cluster87,cluster59,cluster75,cluster4,1
PRJNA287460,cluster3,cluster3,cluster61,cluster56,cluster51,cluster6,1
